epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.252,1.13102,1.2662,0.90775,0.85636,0.6777,0.72358,0.60088,0.61853,109.97,0.63699,0.034075,0.000325,0.000325
2,200.902,0.86544,0.7704,0.83652,0.88886,0.6461,0.77244,0.63212,0.60731,43.685,0.63743,0.0177351,0.000651816,0.000651816
3,296.658,0.83073,0.76622,0.83038,0.90004,0.66951,0.78853,0.64517,0.60054,50.2736,0.63374,0.0013887,0.000972032,0.000972032
4,392.872,0.81711,0.76792,0.83423,0.90185,0.68245,0.80728,0.67452,0.57502,40.6942,0.6338,0.0009703,0.0009703,0.0009703
5,510.867,0.72324,0.70433,0.82649,0.81552,0.69322,0.81174,0.68893,0.53398,27.5817,0.63013,0.0009604,0.0009604,0.0009604
6,629.982,0.70743,0.66535,0.82202,0.85441,0.7035,0.82184,0.7133,0.47842,13.094,0.6323,0.0009505,0.0009505,0.0009505
7,750.354,0.69519,0.64208,0.81657,0.80074,0.66976,0.80736,0.70955,0.48885,23.2511,0.62681,0.0009406,0.0009406,0.0009406
8,10174.9,0.67112,0.63052,0.81228,0.81787,0.75772,0.8392,0.74674,0.47539,9.63054,0.62648,0.0009307,0.0009307,0.0009307
9,10234.7,0.66099,0.62073,0.81476,0.85694,0.71264,0.84371,0.74588,0.43897,7.50229,0.62642,0.0009208,0.0009208,0.0009208
10,10313.3,0.67863,0.62075,0.81638,0.87384,0.7282,0.85176,0.74532,0.43541,10.9574,0.62336,0.0009109,0.0009109,0.0009109
11,10403.5,0.648,0.60094,0.81074,0.83067,0.74886,0.86166,0.73929,0.46855,9.17113,0.62621,0.000901,0.000901,0.000901
12,10492.9,0.63949,0.59037,0.80622,0.79894,0.77979,0.88449,0.776,0.43814,6.63728,0.62412,0.0008911,0.0008911,0.0008911
13,10774.3,0.63819,0.57426,0.80871,0.84907,0.76407,0.87899,0.75172,0.45875,7.61095,0.62332,0.0008812,0.0008812,0.0008812
14,11003.2,0.61651,0.57872,0.80736,0.89286,0.7071,0.86925,0.75099,0.45434,7.80004,0.62548,0.0008713,0.0008713,0.0008713
15,11097.2,0.61688,0.5696,0.80575,0.90619,0.70081,0.86032,0.76254,0.44266,9.69939,0.62154,0.0008614,0.0008614,0.0008614
16,11326.1,0.6019,0.56192,0.80135,0.90103,0.71895,0.86193,0.78114,0.39455,5.25128,0.62014,0.0008515,0.0008515,0.0008515
17,11605.1,0.57836,0.54037,0.80387,0.90615,0.7328,0.85782,0.7765,0.39034,4.88711,0.62191,0.0008416,0.0008416,0.0008416
18,11753.2,0.57706,0.54395,0.80737,0.90803,0.71616,0.85743,0.75768,0.41527,10.4242,0.62221,0.0008317,0.0008317,0.0008317
19,11919.4,0.5875,0.54222,0.80061,0.91448,0.69879,0.87151,0.73876,0.53415,6.18644,0.62732,0.0008218,0.0008218,0.0008218
20,12010.5,0.58991,0.54951,0.80412,0.86667,0.74283,0.86763,0.78717,0.38894,4.70162,0.62099,0.0008119,0.0008119,0.0008119
21,12100,0.5638,0.53376,0.80284,0.86575,0.78239,0.87757,0.79788,0.37735,2.8217,0.61986,0.000802,0.000802,0.000802
22,12211.9,0.57033,0.54594,0.80478,0.89341,0.7374,0.87778,0.77461,0.38195,3.01541,0.61839,0.0007921,0.0007921,0.0007921
23,12331.9,0.57606,0.54386,0.80469,0.85663,0.75334,0.87709,0.79563,0.36513,4.45683,0.61755,0.0007822,0.0007822,0.0007822
24,12450.7,0.56969,0.53939,0.80071,0.86255,0.74831,0.88234,0.78452,0.3786,1.94551,0.61858,0.0007723,0.0007723,0.0007723
25,12570.7,0.56297,0.53616,0.80055,0.84421,0.75963,0.8772,0.79222,0.39542,1.16081,0.61895,0.0007624,0.0007624,0.0007624
26,12690.1,0.55116,0.52968,0.80366,0.87563,0.72634,0.86836,0.79417,0.35488,1.22353,0.617,0.0007525,0.0007525,0.0007525
